"policyid","customerid","startdate","enddate"
131,58,"2019-11-06","2030-09-13"
131,58,"2019-11-06","2030-09-13"
181,58,"2024-10-06","2027-05-06"
181,58,"2024-10-06","2027-05-06"
150,58,"2011-05-06","2029-06-26"
33,66,"2023-10-16","2030-04-17"
94,66,"2013-10-17","2028-02-02"
33,66,"2023-10-16","2030-04-17"
94,66,"2013-10-17","2028-02-02"
142,66,"2016-08-01","2027-05-19"
142,66,"2016-08-01","2027-05-19"
145,72,"2014-02-16","2029-01-21"
57,72,"2015-02-19","2025-12-25"
25,75,"2013-02-26","2028-09-26"
169,75,"2016-05-21","2025-10-14"
169,75,"2016-05-21","2025-10-14"
77,75,"2020-12-08","2027-09-07"
77,75,"2020-12-08","2027-09-07"
25,75,"2013-02-26","2028-09-26"
155,76,"2015-08-09","2028-11-14"
143,76,"2020-06-13","2029-01-14"
193,77,"2024-10-27","2027-11-16"
156,77,"2021-10-10","2027-04-22"
67,79,"2014-04-28","2026-12-02"
136,79,"2014-09-15","2025-05-05"
104,80,"2015-07-21","2026-10-27"
42,80,"2018-01-28","2029-01-25"
191,81,"2016-02-19","2027-09-28"
41,81,"2024-01-20","2028-03-23"
24,90,"2024-11-11","2029-05-25"
175,90,"2015-12-13","2028-01-08"
79,95,"2010-12-18","2029-01-17"
99,95,"2011-11-08","2030-02-12"
79,95,"2010-12-18","2029-01-17"
99,95,"2011-11-08","2030-02-12"
66,95,"2023-07-22","2027-03-24"
66,95,"2023-07-22","2027-03-24"
124,95,"2018-09-09","2026-08-20"
124,95,"2018-09-09","2026-08-20"
124,95,"2018-09-09","2026-08-20"
66,95,"2023-07-22","2027-03-24"
99,95,"2011-11-08","2030-02-12"
79,95,"2010-12-18","2029-01-17"
183,98,"2015-02-10","2028-03-19"
52,98,"2015-05-13","2025-08-22"
197,114,"2017-09-11","2029-03-13"
159,114,"2014-01-16","2027-08-23"
135,115,"2010-05-21","2028-08-10"
176,115,"2011-07-27","2030-02-18"
176,115,"2011-07-27","2030-02-18"
5,115,"2014-02-03","2027-06-26"
5,115,"2014-02-03","2027-06-26"
135,115,"2010-05-21","2028-08-10"
178,118,"2020-02-15","2026-02-14"
180,118,"2010-05-12","2028-10-16"
19,123,"2014-07-17","2025-03-25"
55,123,"2021-04-07","2025-03-08"
55,123,"2021-04-07","2025-03-08"
23,123,"2021-01-04","2030-01-22"
23,123,"2021-01-04","2030-01-22"
19,123,"2014-07-17","2025-03-25"
102,132,"2012-07-04","2026-09-09"
63,132,"2011-01-20","2027-05-09"
37,137,"2014-07-06","2028-07-01"
61,137,"2023-06-28","2028-03-03"
10,139,"2020-06-19","2028-02-09"
163,139,"2024-11-15","2025-01-13"
163,139,"2024-11-15","2025-01-13"
148,139,"2014-05-03","2028-03-28"
148,139,"2014-05-03","2028-03-28"
10,139,"2020-06-19","2028-02-09"
91,141,"2023-05-17","2025-07-12"
196,141,"2013-10-07","2030-09-06"
3,141,"2015-08-24","2027-02-08"
91,141,"2023-05-17","2025-07-12"
91,141,"2023-05-17","2025-07-12"
149,141,"2012-11-28","2027-01-14"
196,141,"2013-10-07","2030-09-06"
3,141,"2015-08-24","2027-02-08"
149,141,"2012-11-28","2027-01-14"
149,141,"2012-11-28","2027-01-14"
3,141,"2015-08-24","2027-02-08"
196,141,"2013-10-07","2030-09-06"
20,142,"2017-09-10","2028-05-17"
35,142,"2019-01-23","2029-08-18"
187,145,"2021-03-01","2030-03-03"
115,145,"2022-08-22","2028-06-17"
1,148,"2023-11-17","2029-01-22"
1,148,"2023-11-17","2029-01-22"
51,148,"2010-12-18","2025-09-06"
51,148,"2010-12-18","2025-09-06"
174,148,"2017-03-09","2026-03-06"
174,148,"2017-03-09","2026-03-06"
157,153,"2013-04-27","2025-07-24"
167,153,"2010-07-11","2026-09-15"
147,158,"2017-02-28","2028-03-27"
50,158,"2022-12-03","2025-11-21"
147,158,"2017-02-28","2028-03-27"
121,158,"2022-01-02","2025-09-25"
121,158,"2022-01-02","2025-09-25"
121,158,"2022-01-02","2025-09-25"
121,158,"2022-01-02","2025-09-25"
96,158,"2010-04-12","2026-11-01"
96,158,"2010-04-12","2026-11-01"
96,158,"2010-04-12","2026-11-01"
96,158,"2010-04-12","2026-11-01"
147,158,"2017-02-28","2028-03-27"
177,158,"2017-08-15","2029-05-01"
177,158,"2017-08-15","2029-05-01"
177,158,"2017-08-15","2029-05-01"
177,158,"2017-08-15","2029-05-01"
50,158,"2022-12-03","2025-11-21"
50,158,"2022-12-03","2025-11-21"
50,158,"2022-12-03","2025-11-21"
147,158,"2017-02-28","2028-03-27"
97,160,"2010-07-11","2027-08-27"
31,160,"2020-10-16","2029-02-04"
18,162,"2011-05-07","2027-09-06"
18,162,"2011-05-07","2027-09-06"
141,162,"2010-02-19","2030-09-24"
170,162,"2014-10-05","2026-01-05"
170,162,"2014-10-05","2026-01-05"
170,162,"2014-10-05","2026-01-05"
141,162,"2010-02-19","2030-09-24"
18,162,"2011-05-07","2027-09-06"
47,162,"2019-08-02","2029-05-19"
47,162,"2019-08-02","2029-05-19"
47,162,"2019-08-02","2029-05-19"
141,162,"2010-02-19","2030-09-24"
161,165,"2019-09-03","2025-03-03"
2,165,"2018-12-19","2025-09-25"
32,168,"2020-07-27","2027-10-26"
27,168,"2013-03-15","2027-01-06"
133,172,"2017-05-02","2028-05-10"
86,172,"2010-09-27","2027-02-21"
78,175,"2012-03-01","2029-03-04"
72,175,"2012-02-12","2027-05-13"
49,181,"2024-02-15","2030-02-15"
89,181,"2011-12-03","2030-11-15"
151,185,"2018-02-08","2027-04-04"
48,185,"2022-06-26","2025-07-24"
76,189,"2020-04-12","2025-05-07"
185,189,"2011-12-19","2030-02-13"
189,193,"2011-08-09","2026-09-05"
44,193,"2013-07-15","2030-07-06"
7,195,"2019-06-12","2030-10-12"
84,195,"2017-06-21","2027-05-04"
134,198,"2015-06-23","2026-05-28"
137,198,"2021-07-07","2028-04-13"
